date,type,year,avg_price,size,nb_sold
12/27/2015,conventional,2015,0.95,small,9626901.09
12/20/2015,conventional,2015,0.98,small,8710021.76
12/13/2015,conventional,2015,0.93,small,9855053.66
12/6/2015,conventional,2015,0.89,small,9405464.36
11/29/2015,conventional,2015,0.99,small,8094803.56
11/22/2015,conventional,2015,0.96,small,8571849.8
11/15/2015,conventional,2015,0.92,small,9907981.27
11/8/2015,conventional,2015,0.97,small,9991330.31
11/1/2015,conventional,2015,0.97,small,10138703.85
10/25/2015,conventional,2015,1.04,small,8683958.8
10/18/2015,conventional,2015,0.99,small,9162094.14
10/11/2015,conventional,2015,1,small,8828340.53
10/4/2015,conventional,2015,1.02,small,8353619.97
9/27/2015,conventional,2015,1.03,small,8454208.8
9/20/2015,conventional,2015,1.02,small,9422275.27
9/13/2015,conventional,2015,1.03,small,9875018.48
9/6/2015,conventional,2015,1.02,small,12569277.14
8/30/2015,conventional,2015,1.07,small,11650976.87
8/23/2015,conventional,2015,1.08,small,11283021.31
8/16/2015,conventional,2015,1.05,small,12680252.48
8/9/2015,conventional,2015,1.05,small,13003371.07
8/2/2015,conventional,2015,1.09,small,12115233.76
7/26/2015,conventional,2015,1.07,small,12196225.93
7/19/2015,conventional,2015,1.07,small,12742760.17
7/12/2015,conventional,2015,1.07,small,12384449.4
7/5/2015,conventional,2015,1.04,small,15643939.37
6/28/2015,conventional,2015,1.06,small,13299568.71
6/21/2015,conventional,2015,1.02,small,14699604.93
6/14/2015,conventional,2015,0.98,small,16383685.07
6/7/2015,conventional,2015,1,small,16529797.6
5/31/2015,conventional,2015,1.03,small,15503613.33
5/24/2015,conventional,2015,1.04,small,16000107.8
5/17/2015,conventional,2015,1.06,small,14615941.59
5/10/2015,conventional,2015,1.02,small,16215328.75
5/3/2015,conventional,2015,0.96,small,17787611.93
4/26/2015,conventional,2015,1.07,small,13833715.28
4/19/2015,conventional,2015,1.03,small,14251319.31
4/12/2015,conventional,2015,1.02,small,14793354.18
4/5/2015,conventional,2015,1.06,small,13939014.43
3/29/2015,conventional,2015,1.04,small,12524637.04
3/22/2015,conventional,2015,1.01,small,13697405.61
3/15/2015,conventional,2015,1.04,small,13149988.71
3/8/2015,conventional,2015,1.02,small,13013750.35
3/1/2015,conventional,2015,0.97,small,13282222.98
2/22/2015,conventional,2015,1.02,small,12628562.36
2/15/2015,conventional,2015,1.03,small,12626615.3
2/8/2015,conventional,2015,0.95,small,13308193.4
2/1/2015,conventional,2015,0.89,small,18933038.04
1/25/2015,conventional,2015,1.04,small,12167445.03
1/18/2015,conventional,2015,1.03,small,11858139.34
1/11/2015,conventional,2015,1.01,small,11544810.53
1/4/2015,conventional,2015,0.95,small,12357161.34
12/25/2016,conventional,2016,1,small,9255125.2
12/18/2016,conventional,2016,0.96,small,9394065.91
12/11/2016,conventional,2016,0.98,small,9009996.11
12/4/2016,conventional,2016,1,small,11043350.9
11/27/2016,conventional,2016,1.21,small,7891487.94
11/20/2016,conventional,2016,1.27,small,8531160.52
11/13/2016,conventional,2016,1.36,small,8235135.43
11/6/2016,conventional,2016,1.44,small,7804252.91
10/30/2016,conventional,2016,1.43,small,7100458.82
10/23/2016,conventional,2016,1.34,small,7579629.06
10/16/2016,conventional,2016,1.3,small,8810664.45
10/9/2016,conventional,2016,1.27,small,9552502.48
10/2/2016,conventional,2016,1.23,small,9534915.56
9/25/2016,conventional,2016,1.22,small,10548061.13
9/18/2016,conventional,2016,1.15,small,11337829.1
9/11/2016,conventional,2016,1.08,small,12962762.94
9/4/2016,conventional,2016,1.04,small,14643465.52
8/28/2016,conventional,2016,1.09,small,12561055.5
8/21/2016,conventional,2016,1.1,small,12725249.3
8/14/2016,conventional,2016,1.12,small,12352932.68
8/7/2016,conventional,2016,1.15,small,12197105.36
7/31/2016,conventional,2016,1.23,small,10168972.37
7/24/2016,conventional,2016,1.2,small,10331314.28
7/17/2016,conventional,2016,1.15,small,10320463.27
7/10/2016,conventional,2016,1.1,small,11457080.38
7/3/2016,conventional,2016,1.06,small,12508937.27
6/26/2016,conventional,2016,1.04,small,12189035.17
6/19/2016,conventional,2016,1.02,small,13488851.61
6/12/2016,conventional,2016,1.04,small,12291686.69
6/5/2016,conventional,2016,0.97,small,13808859.16
5/29/2016,conventional,2016,0.94,small,13682611.21
